state,x,y
Adana,3,-150
Adiyaman,183,-107
Afyonkarahisar,-301,-38
Agri,469,62
Amasya,13,121
Ankara,-175,48
Antalya,-282,-170
Artvin,381,179
Aydin,-470,-104
Balikesir,-468,64
Bilecik,-332,80
Bingol,327,1
Bitlis,431,-34
Bolu,-231,113
Burdur,-344,-131
Bursa,-396,78
Canakkale,-538,83
Cankiri,-129,120
Corum,-51,108
Denizli,-396,-108
Diyarbakir,308,-76
Edirne,-545,168
Elazig,240,-40
Erzincan,239,50
Erzurum,367,82
Eskisehir,-276,36
Gaziantep,131,-166
Giresun,184,124
Gumushane,236,99
Hakkari,546,-98
Hatay,56,-218
Isparta,-281,-97
Mersin,-97,-202
Istanbul,-405,165
Izmir,-523,-56
Kars,464,128
Kastamonu,-111,187
Kayseri,16,-45
Kirklareli,-481,215
Kirsehir,-82,9
Kocaeli,-337,143
Konya,-189,-91
Kutahya,-370,14
Malatya,161,-44
Manisa,-453,-27
Kahramanmaras,94,-98
Mardin,337,-136
Mugla,-445,-159
Mus,395,-1
Nevsehir,-49,-32
Nigde,-47,-101
Ordu,118,137
Rize,325,157
Sakarya,-298,127
Samsun,25,170
Siirt,420,-78
Sinop,-34,204
Sivas,111,33
Tekirdag,-489,162
Tokat,57,94
Trabzon,250,147
Tunceli,240,12
Sanliurfa,232,-153
Usak,-388,-45
Van,507,-20
Yozgat,-23,40
Zonguldak,-228,170
Aksaray,-111,-66
Bayburt,281,97
Karaman,-150,-162
Kirikkale,-110,53
Batman,370,-77
Sirnak,440,-117
Bartin,-184,198
Ardahan,444,186
Igdir,518,90
Yalova,-389,122
Karabuk,-178,156
Kilis,107,-190
Osmaniye,49,-151
Duzce,-263,138
